Nome,Endereço,Latitude,Longitude
M&C Coquetéis,"R. Maria Sedrez, 104 - apto 541 - Fazenda, Itajaí",-26.9315489,-48.6471904
Giraffas,"Av. Osvaldo Reis, 839 - Piso 3 - Fazenda, Itajaí",-26.9294639,-48.6447862
Hotel Marambaia Cabeçudas,"R. Maria Flora Caldeira, 46 - Cabeçudas, Itajaí",-26.929712,-48.63053
Villa d'Ozio Hotel e Cucina,"Av. José Medeiros Viêira, 982 - Praia Brava, Itajaí",-26.9441784,-48.6291016
Hotel Linhares,"Av. Osvaldo Reis, 2874 - Santa Clara, Itajaí",-26.9481709,-48.6409046
HOME IN BOX HOSTEL,"Av. José Medeiros Viêira, 1502 - Praia Brava, Itajaí",-26.9485289,-48.62950360000001
Ekaterina Palace - Hotel Boutique e Eventos,"R. Ver. Herminio Gervásio, 139 - Cabeçudas, Itajaí",-26.931232,-48.633399
Strastalent Desenvolvimento de Talentos,"R. Eng. João da Rocha Melo, 34 - Cabeçudas, Itajaí",-26.9306274,-48.6344509
AABB - Athletic Association Bank of Brazil,"Alameda Ernesto Schneider, 129 - Fazenda, Itajaí",-26.9203528,-48.6479747
BMJ Cred!,"Av.Osvaldo Reis, 2470 Sala 03,04 - Praia Brava, Itajaí",-26.9440893,-48.640278
Finance do Brasil,"R. Jorge Tzachel, nº 83 - Fazenda, Itajaí",-26.9176535,-48.6527681
Unicred - Itajaí,"R. Camboriú, 519 - Centro, Itajaí",-26.9125141,-48.6560269
Supermercado Morelli,"R. Osni Melo, 177 - Fazenda, Itajaí",-26.9300571,-48.646727
HOME STORE BRAVA,"R. Delfim Mário de Pádua Peixoto, Numero: 355 - Praia Brava, Itajaí",-26.943602,-48.6300265
Habbitat Brava Store Habbitat Brava Store,"Av. José Medeiros Viêira, 704 - Praia Brava, Itajaí",-26.9413991,-48.6287448
VANESSA STORE,"R. Lauro Muller, 950 - sala 06 - Fazenda, Itajaí",-26.9137329,-48.6542989
Carites Store,"Av. Ver. Abrahão João Francisco, 1050 - Térreo, Itajaí",-26.914009,-48.6626598
Valentina Store,"Anexo ao Supermercado Giassi - Av. Osvaldo Reis, 839 - 1º andar - Fazenda, Itajaí",-26.9294639,-48.6447862
Tempero Apimentado Sex Shop Centro,"Localizada na sala 2 do Ed. Liberty - Av. Joca Brandão, 553 - Centro, Itajaí",-26.9123973,-48.65905009999999
joy in store,"R. Juvêncio Taváres D'amaral, 540 - Cabeçudas, Itajaí",-26.9285215,-48.6325641
Barauna Men Store,"R. Juvenal García, 387 - Centro, Itajaí",-26.9145981,-48.6655808
Seu Pet Aqui,"R. Brusque, 559 - Centro, Itajaí",-26.9125217,-48.6666165
Jhuan Da Brava Mercado & Conveniencia,"R. Delfim Mário de Pádua Peixoto, 763 - Praia Brava, Itajaí",-26.9474378,-48.6304611
M Store Veiculos,"Av. Osvaldo Reis, 2490 - Fazenda, Itajaí",-26.9442847,-48.6401962
Superlegal Brinquedos,"Av. Osvaldo Reis, 2751 - loja 05 - Praia Brava, Itajaí",-26.9472965,-48.6401755
colossal modas,"R. João Matias Heill - Fazenda, Itajaí",-26.9193766,-48.6578277
Boutique Infantil,"Rua: Dona Maria Medeiros Siemann, Itajaí",-26.9155597,-48.6578361
LIVE! Praia Brava,"Av. José Medeiros Viêira, 13000 - Praia Brava, Itajaí",-26.9451409,-48.62897359999999
Santacosta,"R. Delfim Mário de Pádua Peixoto, 163 - Praia Brava, Itajaí",-26.9418935,-48.6297604
Fama Diversões Eletrônicas,"R. Amaro Jaques, 128 - Fazenda, Itajaí",-26.9244961,-48.6527884
Subway,"Av. Osvaldo Reis, 839 - Sala 308 - Fazenda, Itajaí",-26.9294639,-48.6447862
Naru Sushi,"Av. Osvaldo Reis, 839 - Fazenda, Itajaí",-26.9294639,-48.6447862
Chef Tiago Brasa e Mar,"R. Suécia, 150 - Praia Brava, Itajaí",-26.9547951,-48.6421381
Kao Atalaia frutos do mar,"R. Dep. Francisco Evaristo Canziani, 1203 - Cabeçudas, Itajaí",-26.9181671,-48.6423046
Kadu Frutos do Mar,"R. Dep. Francisco Evaristo Canziani, 1225 - Cabeçudas, Itajaí",-26.9189606,-48.6419664
