Nome,Endereço,Latitude,Longitude,Categoria
Habits and Customs Museum,"R. XV de Novembro, 25 - Centro, Blumenau",-26.9213095,-49.0578386,cool things to do
Beer Museum Blumenau,"R. XV de Novembro, 160 - Centro, Blumenau",-26.9216252,-49.0587822,cool things to do
Colonial Family Museum,"Alameda Duque de Caxias, 78 - Centro, Blumenau",-26.9223779,-49.0576033,cool things to do
Praça Hercílio Luz,"R. XV de Novembro, 160 - Centro, Blumenau",-26.9217731,-49.0588005,cool things to do
Letreiro Ich Liebe Blumenau,"Centro, Blumenau",-26.9141409,-49.0687522,tourist attractions
Casa do Engenheiro da Ferrovia E.F.S.C.,"R. Aristides Melo, 57 - Centro, Blumenau",-26.9213171,-49.0568007,tourist attractions
Ponte Ferroviária E.F.S.C. ruínas.,"R. Itajaí, 1492-1564 - Vorstadt, Blumenau",-26.9124431,-49.0501322,tourist attractions
"Casa Histórica de Blumenau, Rodovia Jorge Lacerda, 574, Blumenau - SC","Rod. Jorge Lacerda, 574 - Vorstadt, Blumenau",-26.9161508,-49.057675,tourist attractions
Parada Capim Volta E.F.S.C.,"R. Itajaí, 2007 - Vorstadt, Blumenau",-26.908975,-49.042437,tourist attractions
Ferrovia Desativada E.F.S.C.,"R. Itajaí, 1850 - Vorstadt, Blumenau",-26.9118571,-49.0472747,tourist attractions
"Túnel Rua Vitório Alcântara, Blumentau - SC","R. Vitório Alcântara - Ponta Aguda, Blumenau",-26.913408,-49.0655148,tourist attractions
"Monumento Olavo Bilac, Av. Presidente Castelo Branco, 1185, Blumenau - SC","Av. Pres. Castelo Branco, 1185 - Centro, Blumenau",-26.9150253,-49.068385,tourist attractions
Túnel ferroviário E.F.S.C. desativado,"R. Vitório Alcântara, 93 - Ponta Aguda, Blumenau",-26.9136356,-49.0645384,tourist attractions
"Casarão Histórico Jansen Schmitd, Rua Itajaí, 46, Blumenau - SC","R. Itajaí, 46 - Vorstadt, Blumenau",-26.9208681,-49.0581073,tourist attractions
"Painel Artístico Antônio Rozicki, Ponte dos Arcos, Blumenau - SC","Rod. Jorge Lacerda, 815 - Vorstadt, Blumenau",-26.9139017,-49.0570472,tourist attractions
"Antigo Casarão da Família Sachtleben, Blumenau, Santa Catarina","R. XV de Novembro, 41 - Centro, Blumenau",-26.9214494,-49.0579342,tourist attractions
Acesso ferroviário ao pontilhão dos Arcos E.F.S.C.,"R. República Argentina, 778-832 - Ponta Aguda, Blumenau",-26.9129529,-49.0588048,tourist attractions
Corte na pedra ferrovia E.F.S.C.,"R. Vitório Alcântara, 160-174 - Ponta Aguda, Blumenau",-26.9125012,-49.0598249,tourist attractions
Cachoeira de Concreto,"R. Itajaí, 264 - Vorstadt, Blumenau",-26.9186856,-49.0583174,tourist attractions
Cemitério dos Gatos Edith Gaerthner,"Centro, Blumenau",-26.9224923,-49.0581328,tourist attractions
Fonte Luminosa,"Garcia, Blumenau",-26.9266085,-49.0565429,tourist attractions
Praça Das Palmeiras,"Alameda Duque de Caxias, 145 - Centro, Blumenau",-26.9223324,-49.0567349,tourist attractions
Vapor Blumenau,"Ponta Aguda, Blumenau",-26.9198618,-49.0608818,tourist attractions
Rua das Palmeiras,"Alameda Duque de Caxias - Centro, Blumenau",-26.9225565,-49.057009,tourist attractions
Pastelaria Roselito,"R. Antônio Zendron, 1963-2029 - Valparaíso, Blumenau",-26.9558321,-49.08832,restaurant
Espaço 386,"R. Goiás, 386 - Garcia, Blumenau",-26.9408619,-49.0657554,hotel
Hotel de Trânsito do 23º Batalhão de Infantaria Blumenau - SC,"R. Amazonas, 3461 - Garcia, Blumenau",-26.9490088,-49.071526,hotel
Pousada & Hostel Vento Minuano,"R. Lídia Zwicker, 271 - Garcia, Blumenau",-26.9436626,-49.0687904,hotel
Banco Itaú - Agência 6392,"R. Amazonas, 3201 - Garcia, Blumenau",-26.9464967,-49.0719921,bank
Banco Bradesco - Agência 3512,"R. Amazonas, 3244 - Garcia, Blumenau",-26.9466818,-49.0725316,bank
Banco24Horas,"R. 7 de Setembro, 100 - Garcia, Blumenau",-26.9258596,-49.0570607,bank
Banco Santander - Agência 1835 Cia. Hering,"R. Hermann Hering, 1790 - Bom Retiro, Blumenau",-26.9260941,-49.0844635,bank
Banco Santander - Agência 2169 Coteminas Blumenau,"R. Progresso, 150 - Progresso, Blumenau",-26.9614236,-49.0669633,bank
Banco Santander - Agência 1537 Blumenau,"R. Amazonas, 2910 - Garcia, Blumenau",-26.9439121,-49.0721028,bank
BANCO DO BRASIL - ESTILO BLUMENAU - Agência 4771,"Alameda Rio Branco, 810 - Centro, Blumenau",-26.9294325,-49.0631976,bank
Caixa Econômica Federal,"R. Amazonas, 2901 - Garcia, Blumenau",-26.9438278,-49.0713934,bank
Bradesco Dia&Noite,"R. Nereu Ramos, 300 - Jardim Blumenau, Blumenau",-26.9247578,-49.0627833,bank
Saque e Pague,"R. Armando Odebrecht, 70 - Garcia, Blumenau",-26.9279261,-49.0560845,bank
