Nome,Endereço,Latitude,Longitude
Bar Chopinzinho,"Rua das Primaveras 902, Sinop, MT, 78557-670",-11.843514442443848,-55.497135162353516
E e Cleufa Hübner,"Rua das Aroeiras 518, Sinop, MT, 78550-224",-11.857831954956055,-55.502899169921875
Central Farma - Santo Antônio,"Rua das Hortências 335, Sinop, MT, 78556-134",-11.868494987487793,-55.516937255859375
Supermercado São Pedro - St Industrial Sul,"Av. dos Jacarandas 2410, Sinop, MT, 78550-000",-11.866835594177246,-55.500083923339844
Hospital Santo Antônio,"Av. dos Flamboyants 2145, Sinop, MT, 78556-144",-11.868706703186035,-55.5179557800293
Posto Petrobras,"Av. dos Tarumas 2209 J a R (im Paraiso), Sinop, MT, 78556-102",-11.861164093017578,-55.51821517944336
Colégio Cad,"Rua das Macieiras 966, Sinop, MT, 78550-000",-11.859819412231445,-55.51808547973633
Yuri Restaurante,"Av. das Acacias 1845, Sinop, MT, 78550-280",-11.854134559631348,-55.5058708190918
Machado Supermercados,"Rua dos Manacás 1172 (Jardim Jacarandas) 1458, Sinop, MT",-11.830254554748535,-55.51401138305664
Clínica de Ortodontia,"Av. das Sibipirunas 3384, Sinop, MT, 78550-232",-11.856927871704102,-55.50197219848633
Supermercado Tia Julinha,"Rua das Primaveras 5467, Sinop, MT, 78550-000",-11.839310646057129,-55.49614715576172
Auto Posto Paraná,"Av. da Itaúbas 704 (dos Jatobás), Sinop, MT, 78556-710",-11.878978729248047,-55.51569366455078
Associação Comercial e Industrial de Sinop,"Rua das Aroeiras 504, Sinop, MT, 78550-000",-11.857935905456543,-55.50312042236328
Escola Estadual Carlos Drummond de Andrade,"Agrovila, Assentamento Wesley Manoel dos Santos, Gleba Mercedes 5, Sinop, MT, 78550-000",-11.8604097366333,-55.5001106262207
Brasbol Roma Supermercado,"Av. Central 674 (Jardim Roma), Sinop, MT",-11.920673370361328,-55.50408935546875
Colégio Regina Pacis,"Av. das Palmeiras 430, Sinop, MT, 78550-380",-11.848930358886719,-55.4965934753418
Hotel Cascavel,"Rua das Castanheiras 642 (City Center), Sinop, MT, 78550-272",-11.853981018066406,-55.50492858886719
Dona Ana Restaurante,"Rua das Orquideas 1947, Sinop, MT, 78550-266",-11.854169845581055,-55.50301742553711
Farmácias Economizar,"Av. Gov. Júlio Campos 1188, Sinop, MT",-11.854884147644043,-55.50872802734375
Tonetur Turismo,"Rua F 2 45, Sinop, MT, 78550-000",-11.900032043457031,-55.52324676513672
Clinica Sao Camilo,"Av. dos Tarumas 916, Sinop, MT, 78550-001",-11.864081382751465,-55.50499725341797
Senec Escola Cenecista Santa Elisabete - Jd Botânico,"Rua das Avenças 200, Sinop, MT, 78550-000",-11.868112564086914,-55.5106201171875
Resenha Chopp Bar,"Av. Embaubas 2017 (Setor Comercial), Sinop, MT, 78550-108",-11.856199264526367,-55.514068603515625
Posto Capital Chevron Avenida das Sibipirunas,"Av. das Sibipirunas 3555, Sinop, MT, 78550-264",-11.853652954101562,-55.50141143798828
Hospital Regional de Sinop,"Rua Mário de Andrade 245, Sinop, MT, 78550-724",-11.859891891479492,-55.48027038574219
Rede de Farmacias Economizar,"Rua das Primaveras 3340, Sinop, MT, 78550-234",-11.841620445251465,-55.49671173095703
Posto de Gasolina Br Trevao,"Rua Colonizador Ênio Pipino 4421, Sinop, MT, 78550-528",-11.84945297241211,-55.49269485473633
Posto Caiçara,"Rua Joao Pedro Moreira de Carvalho 1860 (Setor Industrial), Sinop, MT, 78557-135",-11.860280990600586,-55.49415588378906
Restaurante Chilly House,"Av. das Sibipirunas 3928B, Sinop, MT, 78550-338",-11.85228443145752,-55.50069046020508
Sanbru Hotel,"Av. Doze de Março (Hotel), Buritama, SP, 15265-000",-21.055313110351562,-50.058895111083984
"Bar Sao Jorge, Sinop","Rua das Primaveras 2348 (Jd Botanico), Sinop, MT, 78556-012",-11.866604804992676,-55.50294494628906
Consultório Odont Restauradora Preven,"Av. Gov. Júlio Campos 1150, Sinop, MT, 78550-000",-11.854974746704102,-55.50710678100586
Escola Estadual Enio Pipino,"Rua das Avencas 2261, Sinop, MT, 78550-178",-11.850189208984375,-55.50637435913086
Hospital da Visão,"Rua das Palmas 156, Sinop, MT, 78556-156",-11.872246742248535,-55.51985549926758
Farmácia Flor de Maio,"Av. das Itaúbas 4001 1, Sinop, MT, 78550-170",-11.850024223327637,-55.50931167602539
Casa Aurora Supermercados,"Av. dos Jacarandas 3800, Sinop, MT, 78550-000",-11.854817390441895,-55.4969596862793
Porks - Sinop,"Av. dos Ingás 3088, Sinop, MT, 78550-160",-11.850600242614746,-55.51350784301758
