Nome,Endereço,Latitude,Longitude
Apetitoso Restaurante Empresarial,"Rua do Centenário 126, Brusque, SC, 88351-020",-27.091285705566406,-48.91175842285156
Farmácia Brusque,"Rua Guilherme Wegner 10, Brusque, SC, 88351-570",-27.077760696411133,-48.90878677368164
Supermercados Archer Loja 03,"Rua Felipe Schmidt 390, Brusque, SC, 88351-001",-27.088077545166016,-48.914649963378906
Escola de Ensino Básico Feliciano Pires,"Rua Rodrigues Alves 250, Brusque, SC, 88350-160",-27.095874786376953,-48.91334915161133
Unimed Brusque,"Rua Guilherme Wegner 935, Brusque, SC, 88350-180",-27.07784080505371,-48.91474533081055
Supermercado Mafra,"Av. 1º De Maio, 61 - Loja F Marinha Grande 2430-210",-27.105365753173828,-48.91546630859375
Restaurante Donna Dunna,"Rua Felipe Schmidt 56 (Center 1), Brusque, SC, 88350-075",-27.093868255615234,-48.914371490478516
Posto S - Auto Posto Ipe,"Rua Dorval Luz 115, Brusque, SC, 88352-400",-27.06959342956543,-48.883453369140625
Hotel Veneza,"Av. Lauro Muller 80, Brusque, SC, 88353-040",-27.10239601135254,-48.916473388671875
Restaurante Cozinha Chinesa,"Rua Bulcao Viana 195 (Azambuja), Brusque",-27.109325408935547,-48.92183303833008
Lanchonete e Restaurante Querencia,"Rua Germano Schaefer 150 (Cidade S Mateus), Brusque, SC, 88350-170",-27.097991943359375,-48.91364669799805
Posto Havan 24H - Brusque,"Rod. Antonio Heil 320, Brusque, SC, 08835-310",-27.098316192626953,-48.90503692626953
Texas Bar,"Rua Dorval Luz 164, Brusque, SC, 88352-400",-27.06910514831543,-48.8831672668457
Cervejaria Zehn Bier,"Rua Benjamin Constant 26 (São Luiz), Brusque, SC, 88351-280",-27.08521270751953,-48.914485931396484
Unidade de Saúde Paqueta,"Rua Cd 2, Brusque, SC, 88358",-27.140670776367188,-48.920745849609375
Escola de Educação Básica João Hassmann,"Rua Nicolau Hassmann 150, Brusque, SC, 88350-665",-27.10428810119629,-48.94326400756836
Tag Klinik - Hospital Dia,"Rua Guilherme Wegner 881, Brusque, SC, 88355-050",-27.07794761657715,-48.91324234008789
App da Escola Básica Osvaldo Reis,"Rua Sete de Setembro S/N, Brusque, SC, 88352-000",-27.084993362426758,-48.904056549072266
Supermercado O Barateiro,"Rua Azambuja 569, Brusque, SC, 88354-101",-27.11556625366211,-48.91904830932617
Bar do Morsch,"Rua Victor Meirelles 42, Brusque, SC, 88352-155",-27.082393646240234,-48.9012336730957
Escola Sid,"Rua Rodrigues Alves 180, sl. 101 (Edif. Ipanema), Brusque, SC, 88350-160",-27.09688377380371,-48.913963317871094
Clínica Veterinária Vita Vet,"Av. Otto Renaux 291, Brusque, SC, 88351-301",-27.089719772338867,-48.91244125366211
Duda Belli Bar,"Rua Adriano Schaefer 56, Brusque, SC, 88350-330",-27.09932518005371,-48.915950775146484
